# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -0.270912   -0.331517   -0.118631   -0.468485   -0.000000   -0.883472
   -0.270912   -0.326170   -0.118631   -0.572641    0.819397   -0.025916
   -0.270912   -0.320823   -0.118631   -0.572662    0.819400   -0.025339
   -0.270912   -0.315476   -0.118631   -0.572774    0.819335   -0.024897
   -0.270912   -0.310129   -0.118631   -0.573093    0.819091   -0.025600
   -0.270912   -0.304782   -0.118631   -0.573758    0.818497   -0.029420
   -0.270912   -0.299435   -0.118631   -0.574754    0.817379   -0.039366
   -0.270912   -0.294088   -0.118631   -0.575364    0.815921   -0.056821
   -0.270912   -0.288741   -0.118631   -0.573866    0.815178   -0.078504
   -0.270912   -0.283394   -0.118631   -0.567952    0.816437   -0.104214
   -0.270912   -0.278047   -0.118631   -0.554574    0.821302   -0.133829
   -0.270912   -0.272700   -0.118631   -0.532669    0.832035   -0.154860
   -0.270912   -0.267353   -0.118631   -0.506106    0.848782   -0.153056
   -0.270912   -0.262006   -0.118631   -0.479633    0.868062   -0.128140
   -0.270912   -0.256659   -0.118631   -0.454433    0.886224   -0.089981
   -0.270912   -0.251311   -0.118631   -0.429050    0.902017   -0.047766
   -0.270912   -0.245964   -0.118631   -0.401296    0.915885   -0.010796
   -0.270912   -0.240617   -0.118631   -0.000023    0.000071   -0.000012
   -0.270912   -0.235270   -0.118631    0.467077   -0.501310   -0.728373
   -0.270912   -0.229923   -0.118631    0.083863   -0.995911   -0.033592
   -0.270912   -0.224576   -0.118631    0.049212   -0.997881   -0.042568
   -0.270912   -0.219229   -0.118631   -0.535874   -0.800126   -0.269513
   -0.270912   -0.213882   -0.118631   -0.868887   -0.311564   -0.384659
   -0.270912   -0.208535   -0.118631   -0.449334   -0.880270   -0.152396
   -0.270912   -0.203188   -0.118631   -0.000013   -0.000070    0.000003
   -0.270912   -0.197841   -0.118631    0.000003   -0.000023    0.000009
   -0.270912   -0.192494   -0.118631    0.000009    0.000002    0.000013
   -0.270912   -0.187147   -0.118631    0.000015    0.000019    0.000017
   -0.270912   -0.181800   -0.118631    0.000022    0.000032    0.000023
   -0.270912   -0.176453   -0.118631    0.000033    0.000020    0.000035
   -0.270912   -0.171106   -0.118631    0.085727   -0.984253    0.154589
   -0.270912   -0.165759   -0.118631    0.167343    0.951108    0.259596
   -0.270912   -0.160412   -0.118631    0.975953    0.105679    0.190653
   -0.270912   -0.155065   -0.118631    0.174580   -0.981445    0.079299
   -0.270912   -0.149717   -0.118631    0.052329   -0.995957    0.073014
   -0.270912   -0.144370   -0.118631    0.286817   -0.394879    0.872815
   -0.270912   -0.139023   -0.118631    0.047699   -0.991665   -0.119689
   -0.270912   -0.133676   -0.118631    0.772166    0.434392   -0.463748
   -0.270912   -0.128329   -0.118631    0.024505   -0.999129   -0.033776
   -0.270912   -0.122982   -0.118631   -0.126869   -0.991721    0.019862
   -0.270912   -0.117635   -0.118631   -0.169214   -0.984833    0.038352
   -0.270912   -0.112288   -0.118631   -0.195747   -0.979138    0.054508
   -0.270912   -0.106941   -0.118631   -0.217871   -0.973394    0.070962
   -0.270912   -0.101594   -0.118631   -0.238327   -0.967062    0.089392
   -0.270912   -0.096247   -0.118631   -0.258217   -0.959744    0.110528
   -0.270912   -0.090900   -0.118631   -0.278334   -0.951043    0.134342
   -0.270912   -0.085553   -0.118631   -0.299175   -0.940506    0.161067
   -0.270912   -0.080206   -0.118631   -0.322051   -0.926380    0.195201
   -0.270912   -0.074859   -0.118631   -0.349977   -0.890785    0.289857
   -0.270912   -0.069512   -0.118631   -0.196944   -0.592962    0.780774
   -0.270912   -0.064165   -0.118631   -0.659423   -0.216198    0.720014
   -0.270912   -0.058818   -0.118631   -0.648821    0.051055    0.759226
   -0.270912   -0.053471   -0.118631   -0.589599   -0.019427    0.807463
   -0.270912   -0.048123   -0.118631   -0.549927   -0.224452    0.804488
   -0.270912   -0.042776   -0.118631   -0.523981   -0.443271    0.727293
   -0.270912   -0.037429   -0.118631   -0.531622   -0.481508    0.696798
   -0.270912   -0.032082   -0.118631   -0.576784   -0.312291    0.754847
   -0.270912   -0.026735   -0.118631   -0.000049    0.000018    0.000068
   -0.270912   -0.021388   -0.118631   -0.337266    0.756078    0.560889
   -0.270912   -0.016041   -0.118631   -0.149956    0.929120    0.338007
   -0.270912   -0.010694   -0.118631   -0.056380    0.967720    0.245640
   -0.270912   -0.005347   -0.118631    0.215272    0.915752    0.339200
   -0.270912    0.000000   -0.118631    0.000000    0.000000    0.000000
   -0.270912    0.005347   -0.118631   -0.215272   -0.915752   -0.339200
   -0.270912    0.010694   -0.118631    0.056380   -0.967720   -0.245640
   -0.270912    0.016041   -0.118631    0.149956   -0.929120   -0.338007
   -0.270912    0.021388   -0.118631    0.337266   -0.756078   -0.560889
   -0.270912    0.026735   -0.118631    0.000049   -0.000018   -0.000068
   -0.270912    0.032082   -0.118631    0.576784    0.312291   -0.754848
   -0.270912    0.037429   -0.118631    0.531622    0.481508   -0.696798
   -0.270912    0.042776   -0.118631    0.523981    0.443269   -0.727294
   -0.270912    0.048123   -0.118631    0.549927    0.224452   -0.804488
   -0.270912    0.053471   -0.118631    0.589599    0.019427   -0.807463
   -0.270912    0.058818   -0.118631    0.648821   -0.051055   -0.759226
   -0.270912    0.064165   -0.118631    0.659423    0.216199   -0.720014
   -0.270912    0.069512   -0.118631    0.196944    0.592962   -0.780775
   -0.270912    0.074859   -0.118631    0.349978    0.890785   -0.289857
   -0.270912    0.080206   -0.118631    0.322051    0.926380   -0.195201
   -0.270912    0.085553   -0.118631    0.299175    0.940506   -0.161067
   -0.270912    0.090900   -0.118631    0.278334    0.951043   -0.134342
   -0.270912    0.096247   -0.118631    0.258217    0.959744   -0.110528
   -0.270912    0.101594   -0.118631    0.238327    0.967062   -0.089392
   -0.270912    0.106941   -0.118631    0.217871    0.973394   -0.070962
   -0.270912    0.112288   -0.118631    0.195747    0.979138   -0.054508
   -0.270912    0.117635   -0.118631    0.169214    0.984833   -0.038352
   -0.270912    0.122982   -0.118631    0.126870    0.991721   -0.019862
   -0.270912    0.128329   -0.118631   -0.024505    0.999129    0.033776
   -0.270912    0.133676   -0.118631   -0.772166   -0.434392    0.463749
   -0.270912    0.139023   -0.118631   -0.047699    0.991665    0.119688
   -0.270912    0.144370   -0.118631   -0.286817    0.394879   -0.872815
   -0.270912    0.149717   -0.118631   -0.052329    0.995957   -0.073014
   -0.270912    0.155065   -0.118631   -0.174581    0.981444   -0.079299
