# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.22618789   -0.23794301   -0.08149213    0.00000002    5.64295705    0.41745636   -0.35886972   -0.38538708
   -0.24444874   -0.19846793    0.17033321    0.00000003    5.34139563   -0.45115890   -0.29933272    0.59210110
    0.30970725   -0.25852833   -0.01981733    0.00000002    5.52418447    0.57160116   -0.38991684   -0.33180298
   -0.24261145   -0.21405143    0.17899314    0.00000002    5.34618958   -0.44776796   -0.32283603    0.60886960
    0.24103874   -0.18538589   -0.11630459    0.00000003    5.62388847    0.44486536   -0.27960217   -0.47358139
    0.28306071   -0.24290151    0.06164061    0.00000002    5.46751499    0.52242183   -0.36634822   -0.13301083
    0.25149783   -0.22884256    0.12639594    0.00000003    5.46150604    0.46416883   -0.34514427    0.03472264
    0.25702122   -0.22732845    0.12522336    0.00000002    5.46392853    0.47436289   -0.34286065    0.02705659
   -0.26800985   -0.22533735   -0.12152731    0.00000002    5.46731474   -0.49464371   -0.33985765   -0.00889514
    0.25253213   -0.22854103    0.12621058    0.00000003    5.46196835    0.46607775   -0.34468949    0.03336014
    0.26661526   -0.22548188    0.12154348    0.00000002    5.46741814    0.49206982   -0.34007562    0.01023327
   -0.26281848   -0.21503615    0.08323632    0.00000002    5.56120320   -0.48506241   -0.32432120    0.42335089
    0.27038213   -0.21598973   -0.07288819    0.00000003    5.51884784    0.49902203   -0.32575941   -0.40833140
    0.27579705   -0.21646116   -0.06741697    0.00000003    5.48166079    0.50901590   -0.32647042   -0.40171388
    0.28619180   -0.21802887   -0.05576527    0.00000002    5.40647175    0.52820063   -0.32883487   -0.38655811
    0.30316857   -0.25314141   -0.02136248    0.00000002    5.48800807    0.55953326   -0.38179220   -0.32898928
    0.30051612   -0.25358189   -0.01820817    0.00000002    5.48490639    0.55463785   -0.38245654   -0.31977655
    0.28912412   -0.25584214    0.02041165    0.00000003    5.48238272    0.53361258   -0.38586549   -0.22668804
   -0.26257572   -0.22755318   -0.13358411    0.00000003    5.46315837   -0.48461438   -0.34319959   -0.03971176
   -0.26348917   -0.22674898   -0.13010179    0.00000002    5.46418561   -0.48630025   -0.34198669   -0.03142440
   -0.26483954   -0.22605197   -0.12657698    0.00000002    5.46546790   -0.48879253   -0.34093544   -0.02263789
   -0.26976468   -0.21644684    0.07373808    0.00000003    5.52182352   -0.49788245   -0.32644883    0.40956846
   -0.28115885   -0.18399567    0.07946968    0.00000002    5.52841439   -0.51891174   -0.27750542    0.43245415
   -0.27290147   -0.21457895    0.07043745    0.00000001    5.50487567   -0.50367176   -0.32363164    0.40545489
    0.28159590   -0.21727437   -0.06083896    0.00000002    5.43877448    0.51971835   -0.32769692   -0.39309262
    0.27337531   -0.21620311   -0.06997901    0.00000003    5.49881274    0.50454629   -0.32608123   -0.40491922
    0.29506574   -0.21980299   -0.04917048    0.00000003    5.36690595    0.54457853   -0.33151064   -0.38077549
    0.28385869   -0.24592709    0.05404090    0.00000001    5.46993926    0.52389460   -0.37091144   -0.14997948
    0.28293985   -0.24238051    0.06291764    0.00000002    5.46713294    0.52219878   -0.36556243   -0.13017186
   -0.26225739   -0.22795359   -0.13516787    0.00000002    5.46278742   -0.48402686   -0.34380351   -0.04339010
   -0.26648970   -0.22557645   -0.12358587    0.00000003    5.46661684   -0.49183810   -0.34021826   -0.01471042
   -0.26669009   -0.22553609   -0.12328408    0.00000003    5.46672739   -0.49220793   -0.34015739   -0.01387888
   -0.28078768   -0.18802962    0.07728749    0.00000003    5.51737928   -0.51822669   -0.28358950    0.42744900
   -0.27982826   -0.19529960    0.07353970    0.00000002    5.50130179   -0.51645597   -0.29455420    0.41855194
   -0.27851191   -0.20202735    0.07066715    0.00000002    5.49220016   -0.51402649   -0.30470110    0.41118960
   -0.26186861   -0.21446869    0.08459134    0.00000002    5.56644288   -0.48330932   -0.32346535    0.42535548
    0.28329475   -0.15983042   -0.08068486    0.00000002    5.53744050    0.52285378   -0.24105897   -0.43704467
    0.28637134   -0.16856687   -0.07834633    0.00000003    5.48380114    0.52853199   -0.25423544   -0.43492858
    0.28144110   -0.15348844   -0.08102770    0.00000003    5.57456775    0.51943266   -0.23149389   -0.43604381
    0.28204010   -0.15566338   -0.08101294    0.00000003    5.56195519    0.52053819   -0.23477417   -0.43657222
    0.28104358   -0.23204861    0.08888365    0.00000002    5.46190576    0.51869899   -0.34997969   -0.07297097
    0.26807170   -0.22533446    0.12068614    0.00000002    5.46770545    0.49475785   -0.33985329    0.00704174
   -0.26431129   -0.22627871   -0.12779766    0.00000002    5.46500386   -0.48781757   -0.34127741   -0.02573741
   -0.26316435   -0.22699071   -0.13119897    0.00000001    5.46383199   -0.48570076   -0.34235128   -0.03407010
   -0.27596686   -0.20987833    0.06899877    0.00000002    5.49249525   -0.50932931   -0.31654209    0.40524920
   -0.27896650   -0.19999124    0.07144501    0.00000002    5.49424589   -0.51486549   -0.30163021    0.41327500
