#       # k              E            BS weight       TS weight
      0.0000000     -2.7710352       0.0000710       0.0000972
      0.0204780     -2.7711004       0.0000660       0.0000951
      0.0409560     -2.7712980       0.0000551       0.0000899
      0.0614339     -2.7716377       0.0000573       0.0000982
      0.0819119     -2.7721371       0.0000821       0.0001275
      0.1023899     -2.7728075       0.0000952       0.0001319
      0.1228679     -2.7736568       0.0000792       0.0000955
      0.1433459     -2.7746750       0.0000963       0.0000792
      0.1638238     -2.7758132       0.0001835       0.0000916
      0.1843018     -2.7770325       0.0002911       0.0001010
      0.2047798     -2.7783048       0.0004001       0.0001087
      0.2252578     -2.7796031       0.0005008       0.0001168
      0.2457358     -2.7809000       0.0005870       0.0001262
      0.2662137     -2.7821692       0.0006555       0.0001367
      0.2866917     -2.7833854       0.0007042       0.0001480
      0.3071697     -2.7845255       0.0007325       0.0001588
      0.3276477     -2.7855690       0.0007405       0.0001681
      0.3481256     -2.7864992       0.0007288       0.0001747
      0.3686036     -2.7873034       0.0006988       0.0001774
      0.3890816     -2.7879735       0.0006528       0.0001757
      0.4095596     -2.7885071       0.0005941       0.0001697
      0.4300376     -2.7889074       0.0005275       0.0001599
      0.4505155     -2.7891848       0.0004600       0.0001480
      0.4709935     -2.7893564       0.0004002       0.0001363
      0.4914715     -2.7894448       0.0003583       0.0001275
      0.5119495     -2.7894712       0.0003432       0.0001243
      0.5119495     -2.7894712       0.0003432       0.0001243
      0.5370086     -2.7896122       0.0004103       0.0001434
      0.5620676     -2.7899465       0.0005710       0.0001909
      0.5871267     -2.7903468       0.0007706       0.0002541
      0.6121858     -2.7907410       0.0009791       0.0003254
      0.6372448     -2.7910937       0.0011815       0.0003998
      0.6623039     -2.7913865       0.0013709       0.0004738
      0.6873630     -2.7916098       0.0015444       0.0005450
      0.7124221     -2.7917586       0.0017012       0.0006119
      0.7374811     -2.7918314       0.0018419       0.0006736
      0.7625402     -2.7918294       0.0019677       0.0007298
      0.7875993     -2.7917560       0.0020799       0.0007805
      0.8126583     -2.7916166       0.0021801       0.0008260
      0.8377174     -2.7914186       0.0022698       0.0008667
      0.8627765     -2.7911708       0.0023504       0.0009029
      0.8878356     -2.7908839       0.0024231       0.0009353
      0.9128946     -2.7905695       0.0024891       0.0009642
      0.9379537     -2.7902401       0.0025490       0.0009901
      0.9630128     -2.7899088       0.0026033       0.0010132
      0.9880718     -2.7895888       0.0026521       0.0010337
      1.0131309     -2.7892927       0.0026951       0.0010515
      1.0381900     -2.7890323       0.0027318       0.0010665
      1.0632491     -2.7888181       0.0027615       0.0010786
      1.0883081     -2.7886587       0.0027833       0.0010874
      1.1133672     -2.7885603       0.0027968       0.0010928
      1.1384263     -2.7885271       0.0028013       0.0010946
      1.1384263     -2.7885271       0.0028013       0.0010946
      1.1589042     -2.7884631       0.0028057       0.0010909
      1.1793822     -2.7882721       0.0028190       0.0010800
      1.1998602     -2.7879577       0.0028411       0.0010625
      1.2203382     -2.7875255       0.0028719       0.0010394
      1.2408162     -2.7869835       0.0029115       0.0010117
      1.2612941     -2.7863413       0.0029598       0.0009809
      1.2817721     -2.7856105       0.0030169       0.0009483
      1.3022501     -2.7848040       0.0030828       0.0009150
      1.3227281     -2.7839361       0.0031578       0.0008822
      1.3432061     -2.7830219       0.0032422       0.0008509
      1.3636840     -2.7820773       0.0033365       0.0008219
      1.3841620     -2.7811184       0.0034408       0.0007956
      1.4046400     -2.7801610       0.0035554       0.0007724
      1.4251180     -2.7792207       0.0036798       0.0007525
      1.4455960     -2.7783123       0.0038131       0.0007359
      1.4660739     -2.7774496       0.0039536       0.0007223
      1.4865519     -2.7766451       0.0040986       0.0007115
      1.5070299     -2.7759099       0.0042444       0.0007033
      1.5275079     -2.7752540       0.0043867       0.0006971
      1.5479859     -2.7746855       0.0045203       0.0006927
      1.5684638     -2.7742113       0.0046398       0.0006896
      1.5889418     -2.7738370       0.0047397       0.0006876
      1.6094198     -2.7735667       0.0048151       0.0006864
      1.6298978     -2.7734034       0.0048620       0.0006857
      1.6503757     -2.7733488       0.0048779       0.0006855
      1.6503757     -2.7733488       0.0048779       0.0006855
      1.6754348     -2.7733551       0.0048731       0.0006835
      1.7004939     -2.7733737       0.0048584       0.0006776
      1.7255530     -2.7734040       0.0048338       0.0006678
      1.7506120     -2.7734446       0.0047991       0.0006544
      1.7756711     -2.7734937       0.0047541       0.0006376
      1.8007302     -2.7735491       0.0046985       0.0006177
      1.8257892     -2.7736082       0.0046319       0.0005950
      1.8508483     -2.7736678       0.0045538       0.0005699
      1.8759074     -2.7737244       0.0044637       0.0005427
      1.9009665     -2.7737743       0.0043609       0.0005138
      1.9260255     -2.7738135       0.0042447       0.0004836
      1.9510846     -2.7738376       0.0041140       0.0004525
      1.9761437     -2.7738423       0.0039676       0.0004208
      2.0012027     -2.7738230       0.0038036       0.0003889
      2.0262618     -2.7737753       0.0036199       0.0003572
      2.0513209     -2.7736944       0.0034136       0.0003260
      2.0763800     -2.7735761       0.0031807       0.0002956
      2.1014390     -2.7734157       0.0029163       0.0002664
      2.1264981     -2.7732093       0.0026142       0.0002388
      2.1515572     -2.7729531       0.0022667       0.0002130
      2.1766162     -2.7726440       0.0018658       0.0001894
      2.2016753     -2.7722801       0.0014049       0.0001682
      2.2267344     -2.7718618       0.0008875       0.0001490
      2.2517935     -2.7713974       0.0003558       0.0001264
      2.2768525     -2.7710352       0.0000710       0.0000972
      2.2768525     -2.7710352       0.0000710       0.0000972
      2.3092146     -2.7714142       0.0003092       0.0001239
      2.3415767     -2.7720303       0.0007992       0.0001488
      2.3739388     -2.7727232       0.0012629       0.0001686
      2.4063009     -2.7734667       0.0016404       0.0001897
      2.4386630     -2.7742413       0.0019225       0.0002121
      2.4710251     -2.7750295       0.0021189       0.0002350
      2.5033871     -2.7758166       0.0022450       0.0002576
      2.5357492     -2.7765917       0.0023171       0.0002795
